CRIME_DATE,TIME,TIME _PERIOD,MOUTH,DATE,CRIME_YEAR,CRIME_CATEGORY_NUMBER,CRIME_CATEGORY_DESCRIPTION,ZIP,LATITUDE,LONGITUDE,EVENT,WeekdayNum,STATISTICAL_CODE_DESCRIPTION
12/26/2011,14:12,8,12,26,2011,29,FELONIES MISCELLANEOUS,90012,33.9046,-118.26733,2,1,"FELONIES, MISCELLANEOUS: All Other Felonies"
12/22/2013,16:12,9,12,22,2013,24,VANDALISM,90012,33.92765,-118.23719,1,7,VANDALISM FELONY
4/6/2013,18:04,10,4,6,2013,16,NARCOTICS,90012,33.92765,-118.23719,1,6,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
1/5/2012,19:01,10,1,5,2012,6,LARCENY THEFT,90012,33.92804,-118.23898,0,4,GRAND THEFT: Purse Snatch
12/7/2011,16:12,9,12,7,2011,23,VEHICLE / BOATING LAWS,90012,33.93246,-118.23904,0,3,VEHICLE AND BOATING LAWS: Misdemeanor
2/28/2011,12:02,7,2,28,2011,14,WEAPON LAWS,90012,33.94322,-118.24348,0,1,WEAPON LAWS: Felony
4/20/2010,18:04,10,4,20,2010,24,VANDALISM,90012,33.94466,-118.27619,0,2,VANDALISM FELONY
12/25/2012,15:12,8,12,25,2012,16,NARCOTICS,90012,33.94596,-118.3464,2,2,NARCOTICS: Under The Influence Of Narcotic (11550 H+S)
11/27/2012,18:11,10,11,27,2012,10,FRAUD AND NSF CHECKS,90012,33.95736,-118.25305,0,2,IDENTITY THEFT (GOODS/SERVICES/CREDIT)
6/27/2013,02:06,2,6,27,2013,16,NARCOTICS,90012,33.95776,-118.23121,0,4,Felony Possession of a Controlled Substance (excluding Marijuana)
11/16/2014,13:11,7,11,16,2014,4,AGGRAVATED ASSAULT,90012,33.9601,-118.27823,1,7,"ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC."
8/16/2013,00:08,1,8,16,2013,24,VANDALISM,90012,33.96558,-118.25536,0,5,VANDALISM FELONY
3/2/2012,18:03,10,3,2,2012,16,NARCOTICS,90012,33.97449,-118.24323,0,5,Felony Possession of a Controlled Substance (excluding Marijuana)
9/29/2013,03:09,2,9,29,2013,14,WEAPON LAWS,90012,33.97848,-118.2551,1,7,WEAPON LAWS: Felony
9/29/2013,21:09,11,9,29,2013,6,LARCENY THEFT,90012,33.98009,-118.24753,1,7,GRAND THEFT: Auto Parts And Accessories
2/3/2012,08:02,5,2,3,2012,12,SEX OFFENSES MISDEMEANORS,90012,33.9824,-118.2783,0,5,SEX MISDEMEANORS: All Other Sex Misdemeanors
10/13/2014,16:10,9,10,13,2014,16,NARCOTICS,90012,34.00231,-118.2653,2,1,Misdemeanor Possessn of a Controlled Substance (excluding Marijuana)
7/2/2010,00:07,1,7,2,2010,24,VANDALISM,90012,34.01739,-118.22556,0,5,VANDALISM: Graffiti/Tagging
6/29/2014,13:06,7,6,29,2014,24,VANDALISM,90012,34.01772,-118.24289,1,7,VANDALISM: Graffiti/Tagging
11/8/2012,17:11,9,11,8,2012,30,MISDEMEANORS MISCELLANEOUS,90012,34.01842,-118.29289,0,4,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors"
11/13/2011,23:11,12,11,13,2011,4,AGGRAVATED ASSAULT,90012,34.0191,-118.18637,1,7,"ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE"
11/2/2012,15:11,8,11,2,2012,10,FRAUD AND NSF CHECKS,90012,34.01983,-118.24327,0,5,FRAUD: Fraud By False Pretenses
9/25/2010,17:09,9,9,25,2010,4,AGGRAVATED ASSAULT,90012,34.01983,-118.24327,1,6,"ASSAULT, AGGRAVATED: ADW - HANDS, FEET, FIST, ETC."
10/17/2012,18:10,10,10,17,2012,16,NARCOTICS,90012,34.01983,-118.24327,0,3,NARCOTICS: Under The Influence Of Narcotic (11550 H+S)
10/12/2012,10:10,6,10,12,2012,6,LARCENY THEFT,90012,34.02055,-118.22021,0,5,GRAND THEFT: From Unlocked Auto
9/14/2013,12:09,7,9,14,2013,22,DRUNK DRIVING VEHICLE / BOAT,90012,34.02292,-118.27763,1,6,DRUNK DRIVING - VEHICLE/BOAT: Alc/Drugs
1/25/2012,19:01,10,1,25,2012,16,NARCOTICS,90012,34.02305,-118.24016,0,3,Felony Possession of a Controlled Substance (excluding Marijuana)
4/17/2011,22:04,12,4,17,2011,16,NARCOTICS,90012,34.02472,-118.14959,1,7,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
8/18/2010,13:08,7,8,18,2010,16,NARCOTICS,90012,34.02526,-118.27314,0,3,Felony Possession of a Controlled Substance (excluding Marijuana)
3/1/2012,14:03,8,3,1,2012,19,DISORDERLY CONDUCT,90012,34.02583,-118.27082,0,4,DISORDERLY CONDUCT: Disturbing The Peace/Court Disturbances
4/28/2010,12:04,7,4,28,2010,13,NON-AGGRAVATED ASSAULTS,90012,34.02717,-118.1553,0,3,"ASSAULT, NON-AGG: Hands, Feet, Fist, Etc."
7/27/2012,19:07,10,7,27,2012,30,MISDEMEANORS MISCELLANEOUS,90012,34.0298,-118.23877,0,5,"MISDEMEANORS, MISCELLANEOUS: All Other Misdemeanors"
9/12/2013,19:09,10,9,12,2013,16,NARCOTICS,90012,34.03011,-118.25484,0,4,NARCOTICS: Found Narcotics
2/19/2014,10:02,6,2,19,2014,6,LARCENY THEFT,90012,34.03115,-118.16243,0,3,"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)"
1/17/2014,11:01,6,1,17,2014,14,WEAPON LAWS,90012,34.03115,-118.16243,0,5,WEAPON LAWS: Felony
1/12/2011,13:01,7,1,12,2011,6,LARCENY THEFT,90012,34.03154,-118.27064,0,3,"THEFT, PETTY: Bicycles"
3/17/2014,11:03,6,3,17,2014,4,AGGRAVATED ASSAULT,90012,34.03156,-118.26711,0,1,"ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON"
8/19/2014,12:08,7,8,19,2014,6,LARCENY THEFT,90012,34.03156,-118.26711,0,2,"THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)"
8/19/2010,15:08,8,8,19,2010,24,VANDALISM,90012,34.03156,-118.26711,0,4,VANDALISM FELONY
3/24/2012,06:03,4,3,24,2012,7,GRAND THEFT AUTO,90012,34.03329,-118.26568,1,6,GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van
8/21/2011,21:08,11,8,21,2011,14,WEAPON LAWS,90012,34.03341,-118.15573,1,7,WEAPON LAWS: Felony
7/17/2010,12:07,7,7,17,2010,20,VAGRANCY,90012,34.03466,-118.15863,1,6,VAGRANCY/QUALITY OF LIFE:Illegal Vending
8/18/2012,01:08,1,8,18,2012,4,AGGRAVATED ASSAULT,90012,34.03473,-118.26452,1,6,"ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON"
6/29/2014,15:06,8,6,29,2014,4,AGGRAVATED ASSAULT,90012,34.03713,-118.26116,1,7,"ASSAULT, AGGRAVATED: DOMESTIC VIOLENCE"
4/21/2013,15:04,8,4,21,2013,16,NARCOTICS,90012,34.03719,-118.24525,1,7,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
11/30/2012,16:11,9,11,30,2012,29,FELONIES MISCELLANEOUS,90012,34.03724,-118.284,0,5,"FELONIES, MISCELLANEOUS: Embezzlement, Felony"
5/1/2013,16:05,9,5,1,2013,16,NARCOTICS,90012,34.03777,-118.24828,0,3,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
9/17/2013,11:09,6,9,17,2013,6,LARCENY THEFT,90012,34.03828,-118.24064,0,2,GRAND THEFT: Auto Parts And Accessories
1/18/2011,18:01,10,1,18,2011,16,NARCOTICS,90012,34.03935,-118.23065,0,2,Felony Possession of a Controlled Substance (excluding Marijuana)
4/24/2013,15:04,8,4,24,2013,16,NARCOTICS,90012,34.04025,-118.24201,0,3,Felony Transport. &/or Sale of Controlled Substance(excpt Marijuana)
5/7/2013,16:05,9,5,7,2013,16,NARCOTICS,90012,34.04095,-118.26587,0,2,NARCOTICS: Marijuana (Felony) Hashish/Hashish Oil (Poss/Sales)
4/28/2013,17:04,9,4,28,2013,23,VEHICLE / BOATING LAWS,90012,34.04104,-118.25193,1,7,VEHICLE AND BOATING LAWS: Misdemeanor
6/5/2011,20:06,11,6,5,2011,4,AGGRAVATED ASSAULT,90012,34.0411,-118.15744,1,7,"ASSAULT, AGGRAVATED: ADW - OTHER DANGEROUS WEAPON"
5/19/2013,23:05,12,5,19,2013,23,VEHICLE / BOATING LAWS,90012,34.04295,-118.26411,1,7,VEHICLE AND BOATING LAWS: Misdemeanor
